Row,Month,Year,Age,Source,Blood_ppm,Censored,Liver_ppm,Bone_ppm,Blood_lead_level,Liver_lead_level,Bone_lead_level,Lead_level_code,X_ray_results,County_found,Outcome,Comments,Released
1,January,2004,NA,Macbride,0.094,0,NA,NA,B,NA,NA,B,NA,NA,EU,NA,NotR
2,February,2004,adult,SOAR,NA,NA,NA,NA,NA,NA,NA,NA,N,Woodbury,R,NA,R
3,July,2004,adult,SOAR,NA,NA,NA,NA,NA,NA,NA,NA,PS,Buena Vista,UNR,**shot with high power rifle **UNR is a negative rehabilitative outcome and for the purposes of this study UNR are included with the euthanized (EU) category.,NotR
4,October,2004,<1,SOAR,0.09,0,NA,NA,B,NA,NA,B,N,Calhoun,R,NA,R
5,December,2004,adult,SOAR,NA,NA,21,NA,NA,C,NA,C,N,Kossuth,Died,NA,NotR
6,December,2004,adult,SOAR,2,0,NA,NA,C,NA,NA,C,PG,Sioux,Died,NA,NotR
7,December,2004,<1,SOAR,1.7,0,NA,NA,C,NA,NA,C,N,Sioux,Died,NA,NotR
8,December,2004,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,PS,NA,R,NA,R
9,January,2005,<1,SOAR,1.13,0,NA,NA,C,NA,NA,C,N,Woodbury,UNR,**UNR is a negative rehabilitative outcome and for the purposes of this study UNR are included with the euthanized (EU) category.,NotR
10,February,2005,juvenile,SOAR,0.06,0,NA,NA,B,NA,NA,B,N,Dallas,R,NA,R
11,February,2005,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,PG,NA,Died,NA,NotR
12,February,2005,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,PG,NA,Died,NA,NotR
13,March,2005,adult,SOAR,NA,NA,32,NA,NA,C,NA,C,N,Dallas,Died,NA,NotR
14,March,2005,adult,SOAR,0.1,0,NA,NA,B,NA,NA,B,N,Lyon,R,NA,R
15,March,2005,adult,SOAR,0.1,0,NA,NA,B,NA,NA,B,N,Marion,R,NA,R
16,March,2005,adult,SOAR,NA,NA,7.5,NA,NA,C,NA,C,N,Woodbury,Died,NA,NotR
17,March,2005,NA,Macbride,0.1,0,NA,NA,B,NA,NA,B,NA,NA,R,NA,R
18,March,2005,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,PG,NA,EU,NA,NotR
19,March,2005,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,PG,NA,EU,NA,NotR
20,March,2005,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DOA,NA,NotR
21,March,2005,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DOA,NA,NotR
22,April,2005,<1,SOAR,0.3,0,NA,NA,SC,NA,NA,SC,N,Buena Vista,UNR,**UNR is a negative rehabilitative outcome and for the purposes of this study UNR are included with the euthanized (EU) category.,NotR
23,November,2005,adult,WCC,8,0,NA,NA,C,NA,NA,C,N,Marshall,Died,NA,NotR
24,November,2005,NA,Macbride,0.17,0,NA,NA,B,NA,NA,B,N,NA,R,NA,R
25,November,2005,NA,Macbride,1.19,0,NA,NA,C,NA,NA,C,PG,NA,EU,NA,NotR
26,December,2005,juvenile,SOAR,9.3,0,NA,NA,C,NA,NA,C,PS,Clay,EU,**.22 bullet ingested,NotR
27,December,2005,juvenile,WCC,6,0,NA,NA,C,NA,NA,C,NA,Jasper,Died,NA,NotR
28,December,2005,NA,Macbride,0.65,0,NA,NA,C,NA,NA,C,N,NA,Died,NA,NotR
29,January,2006,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cedar,EU,NA,NotR
30,January,2006,NA,Macbride,0.22,0,NA,NA,SC,NA,NA,SC,NA,Linn,EU,NA,NotR
31,January,2006,<1,SOAR,0.12,0,NA,NA,B,NA,NA,B,NA,Shelby,Died,NA,NotR
32,February,2006,adult,SOAR,NA,NA,5,NA,NA,SC,NA,SC,N,Marion,DOA,NA,NotR
33,February,2006,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,EU,NA,NotR
34,March,2006,adult,SOAR-OIWI,NA,NA,9,NA,NA,C,NA,C,N,Dickinson,Died,NA,NotR
35,March,2006,juvenile,SOAR,0.06,0,NA,NA,B,NA,NA,B,N,Polk,Died,NA,NotR
36,March,2006,adult,SOAR,NA,NA,7,NA,NA,C,NA,C,NA,Union,Died,NA,NotR
37,March,2006,NA,SOAR-OIWI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Died,NA,NotR
38,April,2006,NA,SOAR-RR,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allamakee,Died,NA,NotR
39,April,2006,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,NA,R
40,June,2006,adult,SOAR,NA,NA,NA,NA,NA,NA,NA,NA,PS,Fremont,R,**#6 shot lodged in breast muscle - opposite side to humerus fx,R
41,September,2006,adult,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jones,Died,NA,NotR
42,November,2006,adult,Macbride,0.017,0,NA,NA,B,NA,NA,B,N,Cedar,R,**transferred to TRC,R
43,November,2006,adult,Macbride,0.3,0,NA,NA,SC,NA,NA,SC,PS,Hardin,R,**gunshot,R
44,November,2006,adult,Macbride,0.65,1,NA,NA,C,NA,NA,C,N,Tama,Died,NA,NotR
45,December,2006,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,PS,Linn,DOA,**gunshot,NotR
46,December,2006,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,N,Louisa,Died,NA,NotR
47,December,2006,adult,SOAR,NA,NA,45,NA,NA,C,NA,C,NA,Polk,Died,NA,NotR
48,December,2006,adult,Macbride,0.2,0,NA,NA,SC,NA,NA,SC,N,Washington,EU,NA,NotR
49,January,2007,adult,Macbride,0.65,1,NA,NA,C,NA,NA,C,PS,Benton,Died,"**gunshot, negative for ingested lead",NotR
50,January,2007,<1,SOAR,NA,NA,2,NA,NA,SC,NA,SC,N,Carroll,DOA,NA,NotR
51,January,2007,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jones,DOA,"**Data says ""none taken""",NotR
52,January,2007,adult,Macbride,0.65,1,NA,NA,C,NA,NA,C,PS,Louisa,EU,**gunshot / negative for ingested lead,NotR
53,January,2007,adult,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,Washington,Died,NA,NotR
54,February,2007,juvenile,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,N,Johnson,DOA,NA,NotR
55,March,2007,adult,SOAR,NA,NA,55,NA,NA,C,NA,C,N,Guthrie,Died,NA,NotR
56,March,2007,juvenile,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,N,Louisa,EU,NA,NotR
57,March,2007,adult,WCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,Story,EU,NA,NotR
58,March,2007,NA,SOAR-IDNR,0.65,1,NA,NA,C,NA,NA,C,NA,Taylor,Died,NA,NotR
59,March,2007,NA,SOAR-IDNR,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taylor,DOA,NA,NotR
60,March,2007,NA,SOAR-IDNR,NA,NA,NA,NA,NA,NA,NA,NA,PS,Taylor,DOA,**gunshot,NotR
61,April,2007,adult,SOAR,NA,NA,30,NA,NA,C,NA,C,N,Kossuth,DOA,NA,NotR
62,July,2007,<1,SOAR,0,0,NA,NA,NA,NA,NA,NA,N,Marion,R,NA,R
63,September,2007,adult,Macbride,0.1,0,NA,NA,B,NA,NA,B,N,Bremer,R,**transferred to TRC,R
64,October,2007,juvenile,SOAR,0.16,0,NA,NA,B,NA,NA,B,PS,Dickinson,R,"**negative for lead in digestive tract, shot with lead #6s",R
65,October,2007,NA,Macbride,0.62,0,NA,NA,C,NA,NA,C,N,Linn,EU,NA,NotR
66,November,2007,juvenile,WCC,0.05,0,NA,NA,B,NA,NA,B,N,Butler,R,NA,R
67,November,2007,adult,SOAR,NA,NA,30,NA,NA,C,NA,C,N,Carroll,Died,NA,NotR
68,November,2007,NA,Macbride,0.1,0,NA,NA,B,NA,NA,B,N,Wapello,EU,NA,NotR
69,December,2007,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,N,Black Hawk,EU,NA,NotR
70,December,2007,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,N,Jackson,EU,NA,NotR
71,December,2007,adult,SOAR,NA,NA,22,NA,NA,C,NA,C,N,Marion,DOA,NA,NotR
72,January,2008,adult,SOAR,NA,NA,1,NA,NA,B,NA,B,NA,Mahaska,DOA,NA,NotR
73,January,2008,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,NA,EU,NA,NotR
74,January,2008,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,PG,NA,DOA,**lead pellet in digestive tract,NotR
75,February,2008,adult,SOAR-BHWRP,NA,NA,1,NA,NA,B,NA,B,N,Black Hawk,DOA,NA,NotR
76,February,2008,NA,MacBride,0.025,0,NA,NA,B,NA,NA,B,NA,Keokuk,EU,NA,NotR
77,February,2008,adult,SOAR,NA,NA,18,NA,NA,C,NA,C,N,Mills,Died,NA,NotR
78,February,2008,adult,SOAR,0.12,0,NA,NA,B,NA,NA,B,N,Montegomery,R,NA,R
79,March,2008,juvenile,WCC,0.248,0,NA,NA,SC,NA,NA,SC,N,Madison,R,NA,R
80,March,2008,adult,SOAR,NA,NA,NA,14,NA,NA,SC,SC,N,Woodbury,DOA,NA,NotR
81,March,2008,NA,Macbride,0.011,0,NA,NA,B,NA,NA,B,NA,NA,EU,NA,NotR
82,April,2008,juvenile,SOAR,NA,NA,36,NA,NA,C,NA,C,N,Greene,DOA,NA,NotR
83,May,2008,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,PS,NA,DOA,**3 pellets in body,NotR
84,June,2008,<1,WCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,Floyd,EU,NA,NotR
85,July,2008,<1,SOAR,0.01,0,NA,NA,B,NA,NA,B,N,Marion,R,NA,R
86,August,2008,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DOA,NA,NotR
87,November,2008,adult,SOAR,2.22,0,NA,NA,C,NA,NA,C,NA,Carroll,R,NA,R
88,November,2008,<1,SOAR,0,0,NA,NA,NA,NA,NA,NA,PS,Monona,Died,**shot with #2 steel,NotR
89,December,2008,adult,SOAR,0.38,0,NA,NA,SC,NA,NA,SC,NA,Boone,UNR,**0.279 ppm in blood LeadCare;  0.38 Antech (sent to lab for comparison to inhouse); **UNR is a negative rehabilitative outcome and for the purposes of this study UNR are included with the euthanized (EU) category.,NotR
90,December,2008,adult,SOAR-IDNR,NA,NA,NA,NA,NA,NA,NA,NA,NA,Humboldt,DOA,NA,NotR
91,December,2008,NA,Macbride,0.105,0,NA,NA,B,NA,NA,B,NA,Jones,EU,NA,NotR
92,December,2008,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,NA,EU,NA,NotR
93,January,2009,juvenile,SOAR,NA,NA,2.7,NA,NA,SC,NA,SC,PG,Carroll,DOA,**pepper-size lead fragments in digestive tract,NotR
94,January,2009,adult,SOAR-IDNR,NA,NA,9,NA,NA,C,NA,C,N,Dallas,DOA,NA,NotR
95,January,2009,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,Linn,EU,NA,NotR
96,January,2009,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linn,DOA,NA,NotR
97,January,2009,adult,SOAR,NA,NA,62,NA,NA,C,NA,C,N,Marion,DOA,NA,NotR
98,February,2009,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,Appanoose,EU,NA,NotR
99,February,2009,NA,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,Dubuque,EU,NA,NotR
100,February,2009,adult,SOAR,NA,NA,1,NA,NA,B,NA,B,N,Guthrie,DOA,NA,NotR
101,February,2009,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Johnson,Died,NA,NotR
102,February,2009,NA,Macbride,0.105,0,NA,NA,B,NA,NA,B,NA,Keokuk,EU,NA,NotR
103,February,2009,NA,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linn,DOA,NA,NotR
104,February,2009,NA,Macbride,0.127,0,NA,NA,B,NA,NA,B,NA,Louisa,EU,NA,NotR
105,February,2009,adult,SOAR,0.354,0,NA,NA,SC,NA,NA,SC,NA,Mahaska,Died,NA,NotR
106,February,2009,adult,SOAR,NA,NA,21,NA,NA,C,NA,C,PS,Mills,DOA,**negative for ingested lead - shot with #6 lead,NotR
