Row,Month,Year,Age,Source,Blood_ppm,Censored,Liver_ppm,Bone_ppm,Blood_lead_level,Liver_lead_level,Bone_lead_level,Lead_level_code,X_ray_results,County_found,Outcome,Comments,Released
160,February,2011,adult,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,N,Linn,DOA,NA,NotR
161,February,2011,adult,Macbride,0.104,0,NA,NA,B,NA,NA,B,NA,Louisa,EU,"**HBC, no xray",NotR
162,February,2011,adult,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,NA,EU,NA,NotR
163,March,2011,adult,SOAR,NA,NA,33.9,NA,NA,C,NA,C,N,Adams,DOA,NA,NotR
164,March,2011,adult,Macbride,0.65,1,NA,NA,C,NA,NA,C,N,Cedar,R,NA,R
165,March,2011,juvenile,SOAR,NA,NA,1,NA,NA,B,NA,B,N,Greene,DOA,NA,NotR
166,March,2011,juvenile,SOAR,0.031,0,NA,NA,B,NA,NA,B,N,Greene,Died,NA,NotR
167,March,2011,adult,Macbride,0.65,1,NA,NA,C,NA,NA,C,N,Johnson,EU,NA,NotR
168,March,2011,juvenile,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Linn,DOA,NA,NotR
169,March,2011,adult,SOAR,0.156,0,NA,NA,B,NA,NA,B,N,Lyon,UNR,**UNR is a negative rehabilitative outcome and for the purposes of this study UNR are included with the euthanized (EU) category.,NotR
170,March,2011,juvenile,SOAR-USFWS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marion,DOA,NA,NotR
171,March,2011,adult,Macbride,0.073,0,NA,NA,B,NA,NA,B,NA,NA,R,"**tissue wounds, no xray",R
172,March,2011,adult,SOAR,NA,NA,1,NA,NA,B,NA,B,N,Plymouth,DOA,NA,NotR
173,March,2011,adult,SOAR,0.03,0,NA,NA,B,NA,NA,B,N,Winnebago,UNR,**UNR is a negative rehabilitative outcome and for the purposes of this study UNR are included with the euthanized (EU) category.,NotR
174,April,2011,adult,SOAR,NA,NA,2,NA,NA,SC,NA,SC,N,Calhoun,DOA,NA,NotR
175,April,2011,adult,Macbride,0.104,0,NA,NA,B,NA,NA,B,NA,Jackson,R,NA,R
176,April,2011,adult,SOAR,0.05,0,NA,NA,B,NA,NA,B,NA,Marion,Died,NA,NotR
177,June,2011,adult,Macbride,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delaware,Died,NA,NotR
178,June,2011,<1,Macbride,0.02,0,NA,NA,B,NA,NA,B,NA,NA,R,NA,R
179,July,2011,<1,Macbride,0.008,0,NA,NA,B,NA,NA,B,NA,Louisa,R,NA,R
180,July,2011,<1,SOAR,0.006,0,NA,NA,B,NA,NA,B,NA,Palo Alto,R,"**gash on leg, did not xray",R
181,July,2011,juvenile,SOAR,NA,NA,1,NA,NA,B,NA,B,N,Story,Died,NA,NotR
182,September,2011,adult,SOAR,NA,NA,1,NA,NA,B,NA,B,NA,Marion,DOA,"**HBC, not xrayed",NotR
183,September,2011,juvenile,SOAR,0.119,0,NA,NA,B,NA,NA,B,N,Winneshiek,R,NA,R
184,October,2011,juvenile,Macbride,0.11,0,NA,NA,B,NA,NA,B,NA,Jackson,EU,NA,NotR
185,November,2011,NA,BLACKHAWK,9.3,0,NA,NA,C,NA,NA,C,NA,Black Hawk,Died,NA,NotR
186,November,2011,juvenile,SOAR,0.114,0,NA,NA,B,NA,NA,B,NA,Dickinson,R,NA,R
187,November,2011,adult,Macbride,0.136,0,NA,NA,B,NA,NA,B,NA,Jones,R,NA,R
188,November,2011,juvenile,SOAR,0.123,0,NA,NA,B,NA,NA,B,NA,Winneshiek,Died,NA,NotR
189,December,2011,NA,Macbride,0.177,0,NA,NA,B,NA,NA,B,NA,Linn,EU,NA,NotR
190,December,2011,adult,Macbride,0.65,1,NA,NA,C,NA,NA,C,NA,Linn,EU,NA,NotR
191,December,2011,adult,SOAR,NA,NA,48,NA,NA,C,NA,C,N,Winneshiek,DOA,NA,NotR
192,December,2011,adult,SOAR,0.1,0,NA,NA,B,NA,NA,B,PG,Wright,R,**lead fragments in deer hair pellet,R
